time,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,direct_radiation
2026-04-14T00:00,10.6,92,1009.9,87,0.0
2026-04-14T01:00,10.2,93,1010.1,66,0.0
2026-04-14T02:00,9.3,93,1010.3,56,0.0
2026-04-14T03:00,8.6,96,1009.9,67,0.0
2026-04-14T04:00,8.4,95,1010.3,87,0.0
2026-04-14T05:00,7.4,95,1011.1,66,0.0
2026-04-14T06:00,7.2,95,1011.6,55,0.0
2026-04-14T07:00,6.8,95,1011.5,41,0.0
2026-04-14T08:00,6.9,94,1012.2,25,10.0
2026-04-14T09:00,9.2,92,1012.1,20,114.0
2026-04-14T10:00,12.1,84,1012.6,0,309.0
2026-04-14T11:00,14.4,73,1012.5,1,491.0
2026-04-14T12:00,15.5,68,1012.8,11,604.0
2026-04-14T13:00,16.3,55,1012.5,34,585.0
2026-04-14T14:00,17.0,48,1012.7,59,542.0
2026-04-14T15:00,17.5,60,1012.4,25,552.0
2026-04-14T16:00,17.3,54,1012.3,29,552.0
2026-04-14T17:00,17.3,52,1012.0,6,572.0
2026-04-14T18:00,16.8,54,1012.0,29,412.0
2026-04-14T19:00,16.1,57,1012.3,35,222.0
2026-04-14T20:00,15.3,57,1012.8,30,61.0
2026-04-14T21:00,13.7,64,1013.4,30,2.0
2026-04-14T22:00,12.5,76,1014.2,6,0.0
2026-04-14T23:00,10.8,83,1014.6,1,0.0
2026-04-15T00:00,9.2,91,1015.1,22,0.0
2026-04-15T01:00,8.4,96,1015.3,23,0.0
2026-04-15T02:00,8.1,95,1015.3,29,0.0
2026-04-15T03:00,7.8,94,1015.3,28,0.0
2026-04-15T04:00,7.4,95,1015.3,25,0.0
2026-04-15T05:00,6.9,95,1015.3,24,0.0
2026-04-15T06:00,6.7,95,1015.3,23,0.0
2026-04-15T07:00,6.5,96,1015.2,23,0.0
2026-04-15T08:00,6.9,93,1015.7,23,12.0
2026-04-15T09:00,9.7,86,1016.1,18,120.0
2026-04-15T10:00,13.2,79,1016.5,0,310.0
2026-04-15T11:00,16.1,60,1016.8,0,496.0
2026-04-15T12:00,17.5,53,1016.6,0,644.0
2026-04-15T13:00,18.0,51,1016.5,0,744.0
2026-04-15T14:00,18.2,51,1016.5,0,786.0
2026-04-15T15:00,18.3,53,1016.2,1,765.0
2026-04-15T16:00,18.3,54,1015.6,4,701.0
2026-04-15T17:00,18.2,56,1015.4,13,572.0
2026-04-15T18:00,17.6,60,1015.3,34,401.0
2026-04-15T19:00,17.0,63,1015.4,29,208.0
2026-04-15T20:00,16.0,69,1015.8,24,69.0
2026-04-15T21:00,14.5,84,1016.4,51,2.0
2026-04-15T22:00,13.7,90,1017.0,58,0.0
2026-04-15T23:00,13.1,90,1017.1,28,0.0
2026-04-16T00:00,11.8,92,1017.3,30,0.0
2026-04-16T01:00,10.9,93,1017.3,54,0.0
2026-04-16T02:00,10.7,94,1017.4,58,0.0
2026-04-16T03:00,10.5,95,1017.3,57,0.0
2026-04-16T04:00,10.2,93,1017.3,49,0.0
2026-04-16T05:00,9.8,93,1017.2,47,0.0
2026-04-16T06:00,9.5,93,1017.2,49,0.0
2026-04-16T07:00,9.5,93,1017.3,50,0.0
2026-04-16T08:00,10.1,89,1017.5,41,11.0
2026-04-16T09:00,13.2,85,1017.6,18,119.0
2026-04-16T10:00,16.5,79,1017.6,9,301.0
2026-04-16T11:00,19.3,61,1017.9,13,473.0
2026-04-16T12:00,20.3,55,1017.7,24,604.0
2026-04-16T13:00,20.5,54,1017.5,51,607.0
2026-04-16T14:00,20.6,55,1017.3,56,497.0
2026-04-16T15:00,20.6,56,1016.9,55,456.0
2026-04-16T16:00,20.4,55,1016.5,51,445.0
2026-04-16T17:00,19.8,59,1016.3,43,425.0
2026-04-16T18:00,18.8,67,1016.2,37,322.0
2026-04-16T19:00,17.9,71,1016.2,32,200.0
2026-04-16T20:00,16.9,74,1016.3,35,67.0
2026-04-16T21:00,15.3,84,1016.8,33,2.0
2026-04-16T22:00,14.3,90,1017.2,33,0.0
2026-04-16T23:00,13.6,87,1017.1,26,0.0
2026-04-17T00:00,12.8,85,1016.8,38,0.0
2026-04-17T01:00,12.3,87,1016.6,60,0.0
2026-04-17T02:00,12.1,89,1016.4,65,0.0
2026-04-17T03:00,11.9,90,1016.1,60,0.0
2026-04-17T04:00,11.6,92,1016.0,56,0.0
2026-04-17T05:00,11.4,94,1016.0,73,0.0
2026-04-17T06:00,11.3,95,1015.9,84,0.0
2026-04-17T07:00,11.3,96,1016.1,76,0.0
2026-04-17T08:00,11.7,94,1016.6,68,8.0
2026-04-17T09:00,14.4,89,1016.9,47,92.0
2026-04-17T10:00,17.9,76,1017.2,24,274.0
2026-04-17T11:00,19.7,61,1017.5,33,454.0
2026-04-17T12:00,20.0,58,1017.7,30,565.0
2026-04-17T13:00,19.9,57,1017.6,21,667.0
2026-04-17T14:00,20.0,57,1017.3,8,743.0
2026-04-17T15:00,20.0,57,1016.8,1,753.0
2026-04-17T16:00,19.8,57,1016.3,6,690.0
2026-04-17T17:00,19.3,61,1015.9,0,571.0
2026-04-17T18:00,18.7,66,1016.0,23,414.0
2026-04-17T19:00,17.9,69,1016.1,33,225.0
2026-04-17T20:00,16.9,74,1016.3,61,64.0
2026-04-17T21:00,16.2,78,1016.6,65,4.0
2026-04-17T22:00,15.5,83,1016.9,70,0.0
2026-04-17T23:00,14.9,86,1017.0,74,0.0
2026-04-18T00:00,14.3,88,1016.8,64,0.0
2026-04-18T01:00,13.7,89,1016.5,55,0.0
2026-04-18T02:00,13.2,90,1016.3,45,0.0
2026-04-18T03:00,12.7,91,1016.1,56,0.0
2026-04-18T04:00,12.2,93,1015.9,67,0.0
2026-04-18T05:00,11.9,94,1015.8,78,0.0
2026-04-18T06:00,11.5,96,1015.9,76,0.0
2026-04-18T07:00,11.2,97,1016.1,75,0.0
2026-04-18T08:00,11.8,95,1016.3,73,12.0
2026-04-18T09:00,14.3,86,1016.6,65,78.0
2026-04-18T10:00,17.6,74,1017.1,56,212.0
2026-04-18T11:00,20.1,65,1017.4,48,379.0
2026-04-18T12:00,20.8,61,1017.5,47,521.0
2026-04-18T13:00,20.6,59,1017.4,46,627.0
2026-04-18T14:00,20.4,58,1017.2,45,690.0
