time;temperature_2m;relative_humidity_2m;surface_pressure;cloud_cover;direct_radiation
2026-04-28T00:00;15,3;95;1013,2;21;0,0
2026-04-28T01:00;14,9;95;1012,7;29;0,0
2026-04-28T02:00;14,5;95;1012,4;26;0,0
2026-04-28T03:00;13,9;97;1012,1;29;0,0
2026-04-28T04:00;13,3;99;1011,8;56;0,0
2026-04-28T05:00;13,0;98;1011,3;56;0,0
2026-04-28T06:00;12,8;99;1010,7;50;0,0
2026-04-28T07:00;12,6;100;1010,4;53;0,0
2026-04-28T08:00;13,0;100;1010,8;66;18,0
2026-04-28T09:00;15,2;97;1010,9;34;106,0
2026-04-28T10:00;18,0;82;1011,0;12;302,0
2026-04-28T11:00;19,3;72;1011,0;26;494,0
2026-04-28T12:00;19,6;70;1010,9;76;622,0
2026-04-28T13:00;19,7;73;1010,7;100;680,0
2026-04-28T14:00;19,9;69;1010,2;100;669,0
2026-04-28T15:00;20,0;68;1009,9;63;689,0
2026-04-28T16:00;19,9;65;1009,3;5;689,0
2026-04-28T17:00;19,5;64;1008,9;100;576,0
2026-04-28T18:00;18,8;68;1008,5;51;325,0
2026-04-28T19:00;18,1;76;1008,6;36;244,0
2026-04-28T20:00;17,3;80;1008,6;47;86,0
2026-04-28T21:00;16,2;88;1008,9;23;4,0
2026-04-28T22:00;15,5;91;1009,6;99;0,0
2026-04-28T23:00;15,1;93;1010,0;82;0,0
